2026-09-22 12:11:20.187 | INFO     | app.main:lifespan:31 - IEEE XML Converter API started
2026-09-22 12:53:31.683 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJ5RWzN5kaDesWXhF8xg'}
2026-09-22 12:53:31.685 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-3-5-haiku-20241022+offline-fallback tokens_in=20497 tokens_out=90 cost=$0.0000 duration=3.22s
2026-09-22 13:23:40.496 | INFO     | app.main:lifespan:31 - IEEE XML Converter API started
2026-09-22 13:23:41.526 | INFO     | app.main:lifespan:31 - IEEE XML Converter API started
2026-09-22 13:25:43.230 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJ7stnVn1Ud5Mwy1dFAF'}
2026-09-22 13:25:43.231 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-sonnet-4-20250514+offline-fallback tokens_in=20514 tokens_out=90 cost=$0.0000 duration=3.05s
2026-09-22 13:25:48.571 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJ7tJQKCsxeGpxinJdzt'}
2026-09-22 13:25:48.573 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-3-5-haiku-20241022+offline-fallback tokens_in=20204 tokens_out=90 cost=$0.0000 duration=0.99s
2026-09-22 13:31:42.362 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJ8LMaXfWVZmwYtVW7o3'}
2026-09-22 13:31:42.364 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-3-5-haiku-20241022+offline-fallback tokens_in=20497 tokens_out=90 cost=$0.0000 duration=1.61s
2026-09-22 13:36:30.874 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJ8hdpBKfS5tZDLmk3S8'}
2026-09-22 13:36:30.875 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-3-5-haiku-20241022+offline-fallback tokens_in=20204 tokens_out=90 cost=$0.0000 duration=1.36s
2026-09-22 15:23:23.953 | INFO     | app.main:lifespan:31 - IEEE XML Converter API started
2026-09-22 15:23:25.094 | INFO     | app.main:lifespan:31 - IEEE XML Converter API started
2026-09-22 15:28:29.587 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJHEu8UF8MRuh6bATsLe'}
2026-09-22 15:28:29.590 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-3-5-haiku-20241022+offline-fallback tokens_in=20133 tokens_out=90 cost=$0.0000 duration=3.26s
2026-09-22 15:37:29.363 | INFO     | app.main:lifespan:31 - IEEE XML Converter API started
2026-09-22 15:37:30.346 | INFO     | app.main:lifespan:31 - IEEE XML Converter API started
2026-09-22 15:37:56.974 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJHxiskVeLW4dDdgfirS'}
2026-09-22 15:37:56.976 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-3-5-haiku-20241022+offline-fallback tokens_in=20497 tokens_out=90 cost=$0.0000 duration=2.98s
2026-09-22 15:41:20.576 | WARNING  | app.llm.anthropic_provider:anthropic_complete:71 - Anthropic billing/auth error — offline fallback: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CfJJDjmk4onDko3odB7WS'}
2026-09-22 15:41:20.578 | INFO     | app.llm.client:complete:85 - LLM complete provider=anthropic model=claude-3-5-haiku-20241022+offline-fallback tokens_in=20133 tokens_out=90 cost=$0.0000 duration=1.14s
